Text,Sentiment,Type,Author
Our family needs help. Lost our jobs during Hurricane Helene.,Neutral,Title,Critical-Storm-9518
Vehicles Lost to Flooding at Hunter Subaru/Hyundai in Arden due to Hurricane Helene,Neutral,Title,Package-Large-828
